Rank	Word	PoS	Collins	Tag	Definition
1377	regular	j	4	cet4 cet6 ky toefl ielts gk	adj. 整齐的；定期的；有规律的；合格的
1378	spread	v	4	cet4 cet6 ky zk gk	vi. 传播；伸展
1379	chairman	n	4	cet4 cet6 ky zk gk	n. 主席，会长；董事长
1380	baseball	n	3	cet4 cet6 ky ielts zk gk	n. 棒球运动；棒球
1381	soft	j	4	cet4 cet6 ky zk gk	adj. 温柔的，温和的；软的，柔软的；笨的；软弱的
1382	ignore	v	4	cet4 cet6 ky toefl gk	vt. 驳回诉讼；忽视；不理睬
1385	belief	n	3	cet4 ky toefl gk	n. 相信，信赖；教义；信仰
1386	demonstrate	v	3	cet4 cet6 ky toefl ielts	vt. 证明；论证；展示
1388	murder	n	4	cet4 cet6 ky zk gk	vt. 谋杀，凶杀
1390	religion	n	3	cet4 cet6 ky toefl ielts gk	n. 宗教信仰；宗教
1391	review	n	4	cet4 cet6 ky toefl ielts zk gk	n. 评论；回顾；复习；检讨；检阅
1392	editor	n	4	cet4 cet6 ky ielts gk	n. 编者，编辑；社论撰写人；编辑装置
1394	engage	v	3	cet4 cet6 ky toefl ielts	vt. 雇佣；吸引，占用；使订婚；使参加；预定
1396	document	n	4	cet4 cet6 ky toefl gk	n. 文件，公文；文档；证件
1397	speed	n	4	cet4 cet6 ky ielts zk gk	vi. 加速，迅速前行；超速，加速；兴隆
1398	cross	v	2	cet4 cet6 ky toefl zk gk	n. 十字架，十字形物；交叉，十字
1399	influence	n	4	cet4 cet6 ky ielts zk gk	n. 影响；势力；感化；有影响的人或事
1400	anyway	r	4	cet4 ky zk	adv. 无论如何，不管怎样；总之
1401	threaten	v	4	cet4 cet6 ky toefl	vt. 威胁；恐吓；预示
1402	commit	v	4	cet4 cet6 ky toefl ielts gk	vt. 把...交托给；指派…作战；使…承担义务；犯罪，做错事
1403	female	j	4	cet4 cet6 ky ielts gk	adj. 女性的；雌性的；柔弱的，柔和的
1404	youth	n	4	cet4 cet6 ky ielts gk	n. 青春；青年；青少年时期；年轻
1405	wave	n	4	cet4 cet6 ky ielts gk	vi. 波动；起伏；摇动；呈波形；挥手示意
1409	background	n	3	cet4 ky toefl ielts zk gk	n. 背景；隐蔽的位置
1410	native	j	3	cet4 cet6 ky ielts gk	adj. 本国的；土著的；与生俱来的；天然的；天赋的
1411	broad	j	4	cet4 ky gk	adj. 宽的，辽阔的；显著的；大概的
1412	wonderful	j	4	cet4 cet6 ky zk gk	adj. 奇妙的；极好的
1413	deny	v	4	cet4 cet6 ky toefl ielts	vt. 否定，否认；拒绝给予；拒绝…的要求
1415	slightly	r	4	cet4 cet6 toefl	adv. 些微地，轻微地；纤细地
1416	reaction	n	4	cet4 cet6	n. 反应，感应；反作用；反动，复古
1418	suit	n	4	cet4 cet6 ky toefl ielts gk	vt. 适合；使适应
1419	perspective	n	3	cet4 cet6 ky toefl ielts	n. 透视图；远景；观点
1422	construction	n	3	cet4 cet6 ky toefl ielts gk	n. 建筑物；建设；解释；造句
1424	intelligence	n	3	cet4 cet6 ky toefl ielts gk	n. 智力；理解力；情报工作；情报机关
1425	destroy	v	4	cet4 cet6 ky gk	vt. 毁坏；破坏；消灭
1427	connection	n	3	cet4 cet6 ky toefl gk	n. 连接；关系；连接件
1429	burn	v	4	cet4 cet6 ky zk gk	vt. 燃烧；烧毁，灼伤；激起…的愤怒
1434	committee	n	5	cet4 cet6 ky toefl ielts gk	n. 委员会
1439	location	n	3	cet4 cet6 ky toefl ielts	n. 位置（形容词locational）；地点；外景拍摄场地
1441	Indian	j		cet4 cet6 ielts zk gk	adj. 印度的；印第安人的；印第安语的
1444	promise	v	4	cet4 cet6 ky toefl ielts zk gk	n. 许诺，允诺；希望
1445	aware	j	4	cet4 ky toefl ielts gk	adj. 知道的；意识到的；有…方面知识的；懂世故的
1449	function	n	4	cet4 cet6 ky ielts gk	n. 功能；函数；职责；盛大的集会
1450	bone	n	3	cet4 ky gk	n. 骨；骨骼；香烟；一首歌；vt. 剔去...的骨；施骨肥于；vi. 苦学；专心致志
1451	active	j	4	cet4 ky toefl zk gk	adj. 主动的；有效的；积极的；活跃的；现役的
1452	extend	v	4	cet4 cet6 ky toefl ielts	vt. 延伸；扩大；伸出；给予；推广；使竭尽全力；[律]对…估价
1453	chief	j	5	cet4 ky toefl ielts gk	n. 酋长；首领；主要部分
1455	combine	v	3	cet4 cet6 ky toefl ielts gk	vt. 使联合，使结合；使化合
1456	wine	n	4	cet4 cet6 ky zk gk	n. 酒，葡萄酒；紫红色
1462	learning	n		cet4 cet6 ky	n. 学习；学问
1464	hell	n	3	cet4 cet6 ky ielts	n. 地狱；训斥；黑暗势力；究竟（作加强语气词）
1465	dangerous	j	4	cet4 ky toefl ielts zk gk	adj. 危险的
1466	remind	v	3	cet4 cet6 ky toefl ielts gk	vt. 提醒；使想起
1467	moral	j	3	cet4 cet6 ky toefl gk	adj. 道德的；精神上的；品性端正的
1470	relatively	r		cet4 cet6	adv. 相对地，比较地；相当地
1471	victory	n	4	cet4 cet6 ky toefl zk gk	n. 胜利；克服；成功
1473	academic	j	3	cet4 cet6 ky toefl ielts gk	adj. 学院的；学术的；理论的
1475	Internet	n		cet4 ky ielts zk gk	n. 因特网
1478	negative	j	3	cet4 cet6 ky toefl ielts	adj. 消极的；否定的；负的；阴性的
1479	following	j	4	cet4 cet6 ky gk	adj. 其次的，接着的；下面的
1480	historical	j	3	cet4 cet6 ky ielts	adj. 历史的；史学的；基于史实的
1482	tour	n	4	cet4 cet6 ky ielts zk gk	n. 旅游，旅行；巡回演出
1483	depend	v	4	cet4 cet6 ky zk gk	vi. 依赖，依靠；相信，信赖；取决于
1485	finding	n	2	cet4 cet6 ky ielts	n. 发现；发现物；裁决
1487	direct	j	5	cet4 cet6 ky toefl ielts zk gk	adj. 直接的；亲身的；恰好的；直系的
1489	contact	n	4	cet4 cet6 ky toefl ielts	n. 接触，联系
1490	justice	n	4	cet4 cet6 ky toefl gk	n. 正义；司法，法律制裁；法官，审判员
1491	participate	v	3	cet4 cet6 ky toefl ielts gk	vi. 参与，参加；分享
1492	daily	j	4	cet4 ky ielts zk gk	adj. 每日的；日常的
1493	fair	j	4	cet4 cet6 ky toefl zk gk	adj. 公平的；美丽的，白皙的；晴朗的
1497	knee	n	3	cet4 cet6 ky zk gk	n. 膝盖，膝
1499	tape	n	4	cet4 cet6 ky toefl ielts zk gk	n. 磁带；带子；卷尺；胶带
1500	hire	v	3	cet4 cet6 ky gk	n. 租金，工钱；雇用，租用
1501	familiar	j	3	cet4 cet6 ky ielts gk	adj. 熟悉的；常见的；亲近的
1502	appropriate	j	3	cet4 cet6 ky toefl ielts gk	adj. 适当的
1503	supply	n	4	cet4 cet6 ky ielts zk gk	n. 供给，补给；供应品
1507	actor	n	3	cet4 ky ielts gk	n. 行动者；男演员；作用物
1508	birth	n	3	cet4 ky ielts zk gk	n. 出生；血统，出身；起源
1509	search	n	4	cet4 cet6 ky toefl zk gk	vi. 搜寻；调查；探求
1510	tie	v	4	cet4 cet6 ky zk gk	vt. 系；打结；约束；与…成平局
1511	democracy	n	4	cet4 cet6 ky toefl ielts	n. 民主，民主主义；民主政治
1512	eastern	j	4	cet4 ky ielts gk	adj. 东方的；朝东的；东洋的
1513	primary	j	3	cet4 cet6 ky toefl ielts zk gk	adj. 主要的；初级的；基本的
1515	circle	n	4	cet4 cet6 ky toefl ielts zk gk	n. 圆；圆形物；循环，周期；圈子
1516	device	n	3	cet4 cet6 ky toefl	n. 装置；策略；图案
1517	progress	n	4	cet4 cet6 ky toefl zk gk	n. 进步，发展；前进
1520	bottom	n	4	cet4 ky zk gk	n. 底部；臀部；末端；尽头
1521	island	n	4	cet4 cet6 ky ielts zk gk	n. 岛；岛屿；安全岛；岛状物
1522	exchange	n	4	cet4 cet6 ky toefl ielts gk	n. 交换；兑换；交易所；交流
1526	lady	n	4	cet4 ky zk gk	n. 女士，夫人；小姐；妻子
1527	colleague	n	4	cet4 cet6 ky toefl gk	n. 同事，同僚
1528	application	n	3	cet4 cet6 ky toefl ielts gk	n. 应用；申请；敷用；应用程序
1529	neck	n	3	cet4 cet6 ky toefl ielts zk gk	n. 脖子；衣领；海峡
1530	lean	v	3	cet4 cet6 ky toefl	vi. 倾斜；倚靠；倾向；依赖
1531	damage	n	4	cet4 cet6 ky ielts gk	vi. 损害；损毁；赔偿金
1532	plastic	n	3	cet4 cet6 ky toefl ielts zk gk	adj. 可塑的；塑料的；（外科）造型的
1535	hate	v	3	cet4 cet6 ky zk gk	vt. 憎恨；厌恶；遗憾
1536	otherwise	r	4	cet4 cet6 ky ielts gk	adv. 另外；在其他方面；否则
1537	writing	n	4	cet4 cet6 ky ielts gk	n. 笔迹；作品；书写；著作
1539	male	j	4	cet4 ky ielts gk	adj. 雄性的；男性的；有力的
1541	alive	j	3	cet4 cet6 ky zk gk	adj. 活着的；活泼的；有生气的
1542	expression	n	3	cet4 cet6 ky gk	n. 表达，表示；表情；表现力；措辞
1544	intend	v	4	cet4 cet6 ky gk	vt. 打算；意指；想要
1546	chicken	n	3	cet4 cet6 ky zk gk	n. 小鸡；鸡肉；胆小鬼，懦夫
1547	army	n	5	cet4 ky ielts zk gk	n. 陆军，军队
1548	abuse	n	4	cet4 cet6 ky toefl ielts gk	n. 滥用；辱骂；虐待；弊端；恶习，陋习
1550	shut	v	3	cet4 cet6 ky toefl zk gk	vt. 关闭；停业；幽禁
1552	extra	j	4	cet4 cet6 ky ielts gk	adv. 特别地，非常；另外
1553	session	n	4	cet4 cet6 ky toefl ielts gk	n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
1554	danger	n	4	cet4 ky ielts zk gk	n. 危险；危险物，威胁
1556	domestic	j	4	cet4 cet6 ky toefl ielts	adj. 国内的；家庭的；驯养的；一心只管家务的
1558	literature	n	3	cet4 cet6 ky ielts gk	n. 文学；文艺；文献；著作
1560	desire	n	4	cet4 cet6 ky toefl ielts gk	n. 欲望；要求，心愿；性欲
1562	injury	n	4	cet4 cet6 ky toefl ielts gk	n. 伤害，损害；受伤处
1563	respect	n	4	cet4 cet6 ky toefl gk	n. 尊敬，尊重；方面；敬意
1564	northern	j		cet4 cet6 ky zk gk	adj. 北方的；北部的
1565	nod	v	3	cet4 cet6 ky toefl zk gk	n. 点头；打盹；摆动
1566	paint	v	4	cet4 ky zk gk	vt. 油漆；描绘；装饰；绘画
1567	fuel	n	4	cet4 ky toefl ielts gk	vi. 得到燃料
1568	leaf	n	3	cet4 cet6 ky zk gk	n. 叶子；（书籍等的）一张；扇页
1572	instruction	n	2	cet4 cet6 ky toefl ielts zk gk	n. 指令，命令；指示；用法说明；教导
1574	pool	n	3	cet4 cet6 ky zk gk	n. 联营；水塘；撞球；共同资金
1575	climb	v	3	cet4 cet6 ky zk gk	vi. 攀登；爬；上升
1578	engine	n	4	cet4 cet6 ky ielts gk	n. 引擎，发动机；机车，火车头；工具
1580	salt	n	3	cet4 cet6 ky zk gk	n. 盐；风趣，刺激性
1581	expand	v	3	cet4 cet6 ky toefl ielts gk	vt. 扩张；使膨胀；详述
1582	importance	n		cet4 cet6 ky gk	n. 价值；重要；重大；傲慢
1583	metal	n	3	cet4 cet6 ky ielts zk gk	n. 金属；合金
1586	software	n	3	cet4 cet6 ky gk	n. 软件
1587	disappear	v	3	cet4 cet6 ky gk	vi. 消失；失踪；不复存在
1590	lip	n	3	cet4 cet6 ky toefl gk	n. 嘴唇；边缘
1591	reading	n	3	cet4 cet6 ky ielts gk	n. 阅读，朗读；读物；读数
1592	urban	j	3	cet4 cet6 ky toefl gk	adj. 城市的；住在都市的
1593	mental	j	3	cet4 cet6 ky toefl ielts gk	adj. 精神的；脑力的；疯的
1594	increasingly	r	4	cet4 cet6 ky	adv. 渐增地；越来越多地
1598	farmer	n	4	cet4 cet6 ky zk gk	n. 农夫，农民
1601	planet	n	3	cet4 cet6 ky toefl zk gk	n. 行星
1602	favorite	j		cet4 ky ielts	n. 幸运儿；喜欢的事物；特别喜欢的人
1603	explore	v	3	cet4 cet6 ky toefl ielts gk	vt. 探测；探索；探险
1604	obtain	v	3	cet4 cet6 ky toefl gk	vi. 获得；流行
1605	enemy	n	3	cet4 ky zk gk	n. 敌人，仇敌；敌军
1607	complex	j	4	cet4 cet6 ky toefl ielts gk	adj. 复杂的；合成的
1608	surround	v	4	cet4 cet6 ky gk	vt. 围绕；包围
1609	athlete	n	3	cet4 cet6 ky toefl ielts gk	n. 运动员，体育家；身强力壮的人
1610	invite	v	4	cet4 cet6 ky zk gk	vt. 邀请，招待；招致
1611	repeat	v	4	cet4 cet6 ky toefl zk gk	vt. 重复；复制；背诵
1613	soul	n	3	cet4 cet6 ky toefl gk	n. 灵魂；精神；心灵；鬼魂
1614	scientific	j	3	cet4 cet6 ky ielts gk	adj. 科学的，系统的
1615	impossible	j	4	cet4 cet6 ky ielts zk gk	adj. 不可能的；不可能存在的；难以忍受的；不真实的
1616	panel	n	3	cet4 cet6 ky toefl ielts	n. 仪表板；嵌板；座谈小组，全体陪审员
1619	married	j	3	cet4 cet6 ky gk	adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
1621	instrument	n	3	cet4 cet6 ky toefl ielts gk	n. 仪器；器械；工具；手段；乐器
1622	predict	v	3	cet4 cet6 ky toefl gk	vt. 预报，预言；预知
1625	emotional	j	3	cet4 cet6 toefl	adj. 情绪的；易激动的；感动人的
1626	commitment	n	2	cet4 cet6 toefl ielts gk	n. 承诺，保证；承担义务；委托；献身
1627	Supreme	j	1	cet4 cet6 ky toefl ielts gk	adj. 最高的；至高的；最重要的
1629	pocket	n	3	cet4 cet6 ky ielts zk gk	n. 口袋；钱；容器
1631	temperature	n	3	cet4 cet6 ky toefl ielts zk gk	n. 温度
1633	poll	n	4	cet4 cet6 ky toefl	n. 民意测验；投票；投票数；投票所
1634	proposal	n	4	cet4 cet6 ky toefl	n. 提议，建议；求婚
1635	consequence	n	3	cet4 cet6 ky toefl ielts gk	n. 结果；重要性；推论
1637	breath	n	3	cet4 ky toefl zk gk	n. 呼吸，气息；一口气，（呼吸的）一次；微风；瞬间，瞬息；迹象；[语]无声音，气音
1638	sight	n	4	cet4 cet6 ky toefl ielts zk gk	n. 视力；眼界；景象；见解
1640	balance	n	4	cet4 ky toefl ielts gk	n. 平衡；匀称；余额
1641	adopt	v	4	cet4 cet6 ky toefl ielts gk	vt. 收养；采取；接受；正式通过
1642	minority	n	4	cet4 cet6 ky toefl ielts gk	n. 少数民族；少数派；未成年
1645	connect	v	2	cet4 cet6 ky toefl zk gk	vt. 连接；联合；关连
1647	teaching	n	3	cet4 cet6 ielts	n. 教学；教义
1648	belong	v	3	cet4 ky toefl gk	vi. 属于，应归入；适宜；应被放置；居住
1649	aid	n	5	cet4 cet6 ky gk	n. 帮助；援助；助手；帮助者
1650	advice	n	4	cet4 cet6 ky toefl ielts zk gk	n. 通知；忠告；建议；劝告
1651	okay	r	4	cet4 ky	adv. 可以；对；很好地
1652	photograph	n	4	cet4 cet6 toefl ielts zk gk	vt. 为…拍照；使深深印入
1655	trail	n	3	cet4 cet6 ky toefl ielts	vt. 拖；追踪；蔓延；落后于
1656	novel	n	4	cet4 cet6 ky toefl ielts gk	adj. 新奇的；异常的
1657	code	n	3	cet4 ky ielts	n. 代码，密码；法典；编码
1658	somehow	r	3	cet4 cet6 ky ielts	adv. 莫明其妙地；以某种方法
1659	organize	v	4	cet4 cet6 ky	vt. 组织；使有系统化；给予生机；组织成立工会等
1660	jury	n	3	cet4 cet6 ky toefl ielts	n. 陪审团；评判委员会
1661	breast	n	3	cet4 cet6 ky gk	n. 乳房，胸部；胸怀；心情
1664	acknowledge	v	3	cet4 cet6 ky toefl ielts gk	vt. 承认；答谢；报偿；告知已收到
1665	theme	n	3	cet4 cet6 ky toefl ielts gk	n. 主题；题目；主旋律
1666	storm	n	3	cet4 cet6 ky toefl zk gk	n. 暴风雨；大动荡
1667	union	n	5	cet4 cet6 ky toefl ielts gk	n. 联合；联盟，协会；工会
1676	conclusion	n	3	cet4 cet6 ky ielts gk	n. 结论；推论；结局
1677	prime	j	3	cet4 cet6 ky toefl ielts	adj. 基本的；最好的；主要的
1678	shadow	n	3	cet4 cet6 ky gk	n. 影子；阴影；庇护；幽灵；隐蔽处
1679	struggle	v	4	cet4 cet6 ky toefl gk	vi. 挣扎；奋斗，努力
1680	conclude	v	3	cet4 cet6 ky toefl gk	vt. 结束；推断；决定，作结论
1685	regulation	n	3	cet4 cet6 ky toefl ielts gk	n. 规则；管理；校准
1686	being	n	3	cet4 ky gk	n. 存在；生命；本质；品格
1689	largely	r	4	cet4 cet6 ky toefl	adv. 主要地；大量地；大部分
1690	shift	v	3	cet4 cet6 ky toefl ielts	n. 手段；移动；轮班；变化
1691	revenue	n	3	cet4 cet6 ky toefl ielts	n. 税收，国家的收入；收益
1692	mark	v	4	cet4 ky zk gk	n. 马克；符号；痕迹；标志
1693	locate	v	2	cet4 cet6 ky toefl	vt. 位于；查找…的地点
1694	county	n	4	cet4 cet6 ky	n. 郡，县
1695	appearance	n	4	cet4 ky ielts gk	n. 外貌，外观；出现，露面
1696	package	n	4	cet4 cet6 ky toefl ielts zk gk	n. 包，包裹；套装软件，程序包
1697	difficulty	n	4	cet4 ky ielts zk gk	n. 困难，困境
1699	recommend	v	4	cet4 cet6 ky toefl gk	vt. 劝告；推荐，介绍；使受欢迎；托付
1700	obvious	j	4	cet4 cet6 ky toefl ielts gk	adj. 明显的；显著的；平淡无奇的
1702	basically	r	3	cet4	adv. 主要地，基本上
1704	generate	v	3	cet4 cet6 ky toefl ielts	vt. 使形成；生殖；发生
1706	propose	v	4	cet4 cet6 ky toefl ielts	vt. 建议；打算，计划；求婚
1708	possibly	r	4	cet4 cet6 ky	adv. 可能地；大概；也许
1709	trend	n	3	cet4 cet6 ky toefl ielts gk	n. 趋势，倾向；走向
1710	visitor	n	3	cet4 cet6 ky zk gk	n. 访问者，参观者；视察者；候鸟
1711	loan	n	4	cet4 cet6 ky toefl ielts	n. 贷款；借款
1713	comfortable	j	3	cet4 cet6 ky ielts zk gk	adj. 舒适的，舒服的
1716	profit	n	4	cet4 cet6 ky toefl ielts gk	n. 利润；利益
1718	crew	n	3	cet4 cet6 ky toefl gk	n. 全体人员，全体船员；队，组
1720	accident	n	3	cet4 ky toefl zk gk	n. 事故；机遇；意外事件；意外
1724	traffic	n	3	cet4 cet6 ky toefl ielts zk gk	n. 交通；贸易；运输；通信量
1725	muscle	n	3	cet4 cet6 ky	n. 肌肉；力量
1726	notion	n	3	cet4 cet6 ky toefl ielts	n. 概念；见解；打算
1727	capture	v	3	cet4 cet6 ky toefl ielts	vt. 俘获；夺得
1728	prefer	v	4	cet4 cet6 ky gk	vt. 宁愿；更喜欢；提出；提升
1729	truly	r	3	cet4 cet6 gk	adv. 真实地，不假；真诚地
1732	chest	n	3	cet4 cet6 ky toefl ielts zk gk	n. 胸，胸部；箱子；衣柜；金库
1734	thick	j	3	cet4 cet6 ky zk gk	n. 最拥挤部份；活动最多部份；事物的粗大浓密部份
1735	cash	n	4	cet4 ky ielts gk	n. 现款，现金
1736	museum	n	4	cet4 cet6 ky ielts zk gk	n. 博物馆
1737	beauty	n	3	cet4 ky ielts gk	n. 美；美人；美好的东西；美丽
1738	emergency	n	4	cet4 cet6 ky ielts gk	n. 紧急情况；突发事件；非常时刻
1739	unique	j	3	cet4 cet6 ky toefl ielts gk	adj. 唯一的，独一无二的；独特的，稀罕的
1741	internal	j	3	cet4 cet6 ky toefl ielts	adj. 国内的；内部的；内在的
1743	link	v	4	cet4 cet6 ky ielts gk	n. 联系，关系；链环，环节
1744	stress	n	4	cet4 cet6 ky toefl ielts gk	n. 压力；紧张；重要性；强调；重读
1745	content	n	2	cet4 cet6 ky toefl ielts gk	n. 内容，目录；容量；满足
1746	select	v	3	cet4 cet6 ky toefl gk	vt. 挑选；选拔
1747	root	n	3	cet4 cet6 ky gk	n. 根；根源；祖先；词根
1749	declare	v	4	cet4 cet6 ky toefl ielts gk	vt. 宣布，声明；断言，宣称
1751	appreciate	v	3	cet4 cet6 ky toefl ielts gk	vt. 欣赏；感激；鉴别；领会
1752	actual	j	3	cet4 ky toefl gk	adj. 真实的，实际的；现行的，目前的
1754	hardly	r	4	cet4 cet6 ky toefl zk gk	adv. 几乎不，简直不；刚刚
1755	setting	n	2	cet4 cet6 ky toefl ielts	n. 环境；布置；安装；沉落
1756	launch	v	4	cet4 cet6 ky toefl ielts	vt. 发射（导弹、火箭等）；发起，发动；使…下水
1758	file	n	4	cet4 ky toefl ielts gk	n. 文件；档案；锉刀；文件夹
1760	outcome	n	3	cet4 cet6 ky toefl ielts gk	n. 结果，结局；成果
1761	ad	n	1	cet4	n. 公元
1762	defend	v	4	cet4 cet6 ky toefl gk	vt. 防护；辩护
1765	duty	n	4	cet4 cet6 ky ielts zk gk	n. 责任；职务；关税
1766	sheet	n	3	cet4 cet6 ky toefl ielts gk	n. 薄片，纸张；床单；薄板
1767	ought	v	3	cet4 cet6 ky gk	aux. 应该，应当；大概
1768	ensure	v	4	cet4 cet6 ky	vt. 保证，确保；使安全
1770	extremely	r	4	cet4 cet6 gk	adv. 非常，极其；极端地
1771	extent	n	3	cet4 cet6 ky toefl ielts	n. 范围；程度；长度
1772	component	n	3	cet4 cet6 ky toefl ielts gk	adj. 组成的，构成的
1773	mix	v	4	cet4 ky gk	vt. 使混和；配制；混淆；使结交
1776	contrast	n	3	cet4 cet6 ky toefl ielts	vi. 对比；形成对照
1777	zone	n	3	cet4 cet6 ky toefl gk	n. 地带；地区；[体]联防；vi. 分成区；vt. 使分成地带；环绕
1785	pilot	n	3	cet4 cet6 ky toefl ielts zk gk	n. 领航员；飞行员
1786	warn	v	4	cet4 cet6 ky toefl zk	vt. 警告，提醒；通知
1787	ultimately	r	3	cet4 cet6 ielts	adv. 最后；根本；基本上
1789	contribution	n		cet4 ky ielts gk	n. 贡献；捐献；投稿
1790	capacity	n	3	cet4 cet6 ky toefl ielts	n. 能力；容量；生产力；资格，地位
1792	estate	n	2	cet4 cet6 ky toefl ielts	n. 财产；房地产；身份
1793	guide	n	4	cet4 cet6 ky ielts gk	n. 指南；向导；入门书
1794	circumstance	n	3	cet4 cet6 toefl ielts gk	n. 环境，情况；事件；境遇
1797	politician	n	4	cet4 cet6 ky gk	n. 政治家，政客
1798	steal	v	3	cet4 cet6 ky toefl zk gk	vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
1799	pursue	v	3	cet4 cet6 ky toefl	vt. 从事；追赶；继续；纠缠
1800	slip	v	4	cet4 cet6 ky toefl ielts gk	vi. 犯错；滑倒；减退；滑动；失足
1801	percentage	n	3	cet4 cet6 ky toefl ielts gk	n. 百分率，百分数；百分比
1803	funny	j	3	cet4 ky zk gk	adj. 有趣的；奇异的；滑稽的
1805	soil	n	3	cet4 cet6 ky ielts gk	n. 土壤；土地；国家；温床；务农；粪便
1807	surgery	n	3	cet4 cet6 ky toefl ielts	n. 外科；外科手术；手术室；诊疗室
1808	correct	j	4	cet4 ky toefl zk gk	vt. 改正；告诫
1809	Jewish	j		cet4 cet6	adj. 犹太人的；犹太族的
1810	blame	v	4	cet4 cet6 ky toefl ielts gk	vt. 责备；归咎于
1811	estimate	v	4	cet4 cet6 ky toefl ielts	vi. 估计，估价
1812	due	i	4	cet4 cet6 ky toefl ielts gk	adj. 到期的；应得的；应付的；预期的
1815	golf	n	3	cet4 cet6 ky ielts gk	n. 高尔夫球；高尔夫球运动
1816	investigate	v	4	cet4 cet6 ky toefl ielts	v. 调查；研究
1817	crazy	j	3	cet4 cet6 ky toefl zk gk	adj. 疯狂的；狂热的，着迷的
1819	chain	n	3	cet4 cet6 ky gk	n. 链；束缚；枷锁
1821	branch	n	3	cet4 ky ielts gk	vt. 分支；出现分歧
1822	combination	n	3	cet4 cet6 ky toefl	n. 结合；化合；联合；组合
1824	frequently	r		cet4 cet6	adv. 时常，屡次；频繁地，经常地
1825	governor	n	4	cet4 cet6 ky toefl	n. 统治者，管理者；调节器；地方长官；主管人员
1826	relief	n	4	cet4 cet6 ky toefl ielts gk	n. 减轻，解除；救济；安慰
1827	user	n	3	cet4 cet6 gk	n. 用户；使用者
1829	kick	v	4	cet4 cet6 ky zk gk	vt. 踢；反冲，朝后座
1831	manner	n	3	cet4 cet6 ky gk	n. 方式；习惯；种类；规矩；风俗
1832	ancient	j	3	cet4 cet6 ky ielts zk gk	adj. 古代的；古老的，过时的；年老的
1833	silence	n	3	cet4 cet6 ky toefl ielts zk gk	n. 寂静；无声状态；不谈；缄默；沉默
1835	golden	j	3	cet4 cet6 ky zk gk	adj. 金色的，黄金般的；金制的；珍贵的
1836	motion	n	3	cet4 cet6 ky toefl ielts	n. 动作；请求；手势；移动；意向
1837	German	j		cet4 cet6 ielts gk	adj. 德国的；德语的，德国人的
1839	solve	v	3	cet4 cet6 ky toefl ielts	vt. 解决；解答；溶解
1840	fee	n	4	cet4 ky ielts gk	n. 酬金；小费；费用
1842	used	j	1	cet4 cet6 ky zk	adj. 习惯的；二手的，使用过的
1843	bowl	n	3	cet4 ky toefl zk gk	n. 碗；木球；大酒杯
1844	equal	j	4	cet4 cet6 ky toefl ielts gk	adj. 相等的；胜任的；平等的
1847	forth	r	3	cet4 cet6 ky toefl	adv. 向前，向外；自…以后
1848	frame	n	3	cet4 cet6 ky toefl	n. 框架；结构；画面
1849	typical	j	3	cet4 cet6 ky toefl ielts gk	adj. 典型的；特有的；象征性的
1851	conservative	j	4	cet4 cet6 ky toefl ielts gk	adj. 保守的
1852	eliminate	v	3	cet4 cet6 ky toefl ielts	vt. 消除；排除
1853	host	n	5	cet4 cet6 ky ielts gk	n. 主人；主机；主持人；许多
1854	hall	n	3	cet4 cet6 ky toefl ielts zk gk	n. 门厅，走廊；会堂；食堂；学生宿舍
1855	trust	v	4	cet4 cet6 ky zk gk	n. 信任，信赖；[经济学]托拉斯；责任
1856	ocean	n	3	cet4 ky ielts zk gk	n. 海洋；广阔；[口]大量
1858	row	n	2	cet4 cet6 ky toefl zk gk	n. 行，排；吵闹；划船；街道
1860	afford	v	3	cet4 cet6 ky toefl ielts zk gk	vt. 给予，提供；买得起
1861	meanwhile	r	4	cet4 cet6 ky gk	adv. 同时，其间
1863	division	n	4	cet4 cet6 ky toefl gk	n. 除法；部门；分割；师（军队）；[体]赛区
1864	confirm	v	4	cet4 cet6 ky toefl ielts gk	vt. 确认；批准；证实；确定；使巩固
1865	fix	v	3	cet4 cet6 ky zk gk	vt. 安装；修理；使固定；准备
1866	appeal	n	4	cet4 cet6 ky toefl ielts gk	vi. 呼吁，恳求；有吸引力，迎合爱好；诉诸，求助；上诉；（体育比赛中）诉诸裁判
1867	mirror	n	3	cet4 cet6 ky zk gk	n. 镜子；真实的写照；榜样
1869	smart	j	3	cet4 cet6 ky toefl ielts zk gk	n. 痛苦；刺痛
1870	length	n	4	cet4 cet6 ky ielts gk	n. 长度，长；时间的长短；（语）音长
1872	rely	v	3	cet4 cet6 ky toefl ielts gk	vi. 信赖；依靠
1873	topic	n	2	cet4 cet6 ky toefl ielts gk	n. 题目；主题（等于theme）；一般规则；[逻]总论
1874	complain	v	4	cet4 cet6 ky toefl	vi. 发牢骚；投诉；诉说
1876	variable	n	2	cet4 cet6 ky toefl ielts	adj. 易变的，多变的；可变的；[生]变异的，畸变的；[数]变量的
1881	attract	v	4	cet4 ky toefl gk	vt. 吸引；引起
1882	confidence	n	4	cet4 cet6 ky toefl ielts	n. 信心；信任；秘密
1884	secret	n	4	cet4 cet6 ky toefl zk gk	n. 秘密；秘诀；机密
